Итерация: 0, MAE - 4.446235788400949E-15
Итерация: 1, MAE - 4.337956899073986E-15
Итерация: 2, MAE - 4.114217100684159E-15
Итерация: 3, MAE - 4.0913277626896794E-15
Итерация: 4, MAE - 4.0913277626896794E-15
Итерация: 5, MAE - 4.0913277626896794E-15
Итерация: 6, MAE - 4.0913277626896794E-15
Итерация: 7, MAE - 4.0913277626896794E-15
Итерация: 8, MAE - 4.0913277626896794E-15
Итерация: 9, MAE - 4.0913277626896794E-15
Итерация: 10, MAE - 4.0913277626896794E-15
Итерация: 11, MAE - 4.0913277626896794E-15
Итерация: 12, MAE - 4.0913277626896794E-15
Итерация: 13, MAE - 4.0913277626896794E-15
Итерация: 14, MAE - 4.0913277626896794E-15
Итерация: 15, MAE - 4.0913277626896794E-15
Итерация: 16, MAE - 4.0913277626896794E-15
Итерация: 17, MAE - 4.0913277626896794E-15
Итерация: 18, MAE - 4.0913277626896794E-15
Итерация: 19, MAE - 4.0913277626896794E-15
Итерация: 20, MAE - 4.0913277626896794E-15
Итерация: 21, MAE - 4.0913277626896794E-15
Итерация: 22, MAE - 4.0913277626896794E-15
Итерация: 23, MAE - 4.0913277626896794E-15
Итерация: 24, MAE - 4.0913277626896794E-15
Итерация: 25, MAE - 4.0913277626896794E-15
Итерация: 26, MAE - 4.0913277626896794E-15
Итерация: 27, MAE - 4.0913277626896794E-15
Итерация: 28, MAE - 4.0913277626896794E-15
Итерация: 29, MAE - 4.0913277626896794E-15
Итерация: 30, MAE - 4.0913277626896794E-15
Итерация: 31, MAE - 4.0913277626896794E-15
Итерация: 32, MAE - 4.0913277626896794E-15
Итерация: 33, MAE - 4.0913277626896794E-15
Итерация: 34, MAE - 4.0913277626896794E-15
Итерация: 35, MAE - 4.0913277626896794E-15
Итерация: 36, MAE - 4.0913277626896794E-15
Итерация: 37, MAE - 4.0913277626896794E-15
Итерация: 38, MAE - 4.0913277626896794E-15
Итерация: 39, MAE - 4.0913277626896794E-15
Итерация: 40, MAE - 4.0913277626896794E-15
Итерация: 41, MAE - 4.0913277626896794E-15
Итерация: 42, MAE - 4.0913277626896794E-15
Итерация: 43, MAE - 4.0913277626896794E-15
Итерация: 44, MAE - 4.0913277626896794E-15
Итерация: 45, MAE - 4.0913277626896794E-15
Итерация: 46, MAE - 4.0913277626896794E-15
Итерация: 47, MAE - 4.0913277626896794E-15
Итерация: 48, MAE - 4.0913277626896794E-15
Итерация: 49, MAE - 4.0913277626896794E-15
Итерация: 50, MAE - 4.0913277626896794E-15
Итерация: 51, MAE - 4.0913277626896794E-15
Итерация: 52, MAE - 4.0913277626896794E-15
Итерация: 53, MAE - 4.0913277626896794E-15
Итерация: 54, MAE - 4.0913277626896794E-15
Итерация: 55, MAE - 4.0913277626896794E-15
Итерация: 56, MAE - 4.0913277626896794E-15
Итерация: 57, MAE - 4.0913277626896794E-15
Итерация: 58, MAE - 4.0913277626896794E-15
Итерация: 59, MAE - 4.0913277626896794E-15
Итерация: 60, MAE - 4.0913277626896794E-15
Итерация: 61, MAE - 4.0913277626896794E-15
Итерация: 62, MAE - 4.0913277626896794E-15
Итерация: 63, MAE - 4.0913277626896794E-15
Итерация: 64, MAE - 4.0913277626896794E-15
Итерация: 65, MAE - 4.0913277626896794E-15
Итерация: 66, MAE - 4.0913277626896794E-15
Итерация: 67, MAE - 4.0913277626896794E-15
Итерация: 68, MAE - 4.0913277626896794E-15
Итерация: 69, MAE - 4.0913277626896794E-15
Итерация: 70, MAE - 4.0913277626896794E-15
Итерация: 71, MAE - 4.0913277626896794E-15
Итерация: 72, MAE - 4.0913277626896794E-15
Итерация: 73, MAE - 4.0913277626896794E-15
Итерация: 74, MAE - 4.0913277626896794E-15
Итерация: 75, MAE - 4.0913277626896794E-15
Итерация: 76, MAE - 4.0913277626896794E-15
Итерация: 77, MAE - 4.0913277626896794E-15
Итерация: 78, MAE - 4.0913277626896794E-15
Итерация: 79, MAE - 4.0913277626896794E-15
Итерация: 80, MAE - 4.0913277626896794E-15
Итерация: 81, MAE - 4.0913277626896794E-15
Итерация: 82, MAE - 4.0913277626896794E-15
Итерация: 83, MAE - 4.0913277626896794E-15
Итерация: 84, MAE - 4.0913277626896794E-15
Итерация: 85, MAE - 4.0913277626896794E-15
Итерация: 86, MAE - 4.0913277626896794E-15
Итерация: 87, MAE - 4.0913277626896794E-15
Итерация: 88, MAE - 4.0913277626896794E-15
Итерация: 89, MAE - 4.0913277626896794E-15
Итерация: 90, MAE - 4.0913277626896794E-15
Итерация: 91, MAE - 4.0913277626896794E-15
Итерация: 92, MAE - 4.0913277626896794E-15
Итерация: 93, MAE - 4.0913277626896794E-15
Итерация: 94, MAE - 4.0913277626896794E-15
Итерация: 95, MAE - 4.0913277626896794E-15
Итерация: 96, MAE - 4.0913277626896794E-15
Итерация: 97, MAE - 4.0913277626896794E-15
Итерация: 98, MAE - 4.0913277626896794E-15
Итерация: 99, MAE - 4.0913277626896794E-15
DenseVector(1.499999999999995, 0.3000000000000001, -0.6999999999999994)
